16,645950	17,648880	sound
24,368349	25,349689	sound
42,175690	42,778351	sound
43,807690	44,477020	sound
41,309021	42,066360	sound
51,514622	52,214931	sound
61,050030	61,724720	sound
75,898003	77,025993	sound
84,827797	85,286003	sound
109,514198	110,776497	sound
116,905998	117,618103	sound
128,760300	129,434601	sound
131,129303	131,864105	sound
134,044998	134,736801	sound
158,687897	159,206604	sound
167,852600	168,423004	sound
198,684097	199,358398	sound
203,811203	204,407898	sound
252,985703	253,841599	sound
49,790119	50,428871	sound
157,111206	157,822998	sound
158,680695	159,958206	sound
160,797699	161,746704	sound
172,183502	172,779694	sound
186,304596	187,077194	sound
187,624695	188,518906	sound
189,139404	189,723404	sound
222,542496	223,023102	sound
254,650299	255,349899	sound
279,752411	280,257294	sound
